entreprise_id,taille_entreprise,secteur,chiffre_affaires,nombre_employes,anciennete_relation,anciennete_entreprise,niveau_risque
65,Petite,Technologie,553490.64,2842,5,29,5
66,Moyenne,Technologie,227081.22,692,10,24,4
67,Grande,Technologie,43332.49,534,21,74,3
68,Grande,Technologie,222481.79,3447,27,17,1
69,Petite,Technologie,421960.21,2158,10,18,2
70,Petite,Technologie,762015.31,1299,27,42,3
71,Grande,Finance,195964.42,1531,7,84,3
72,Moyenne,Industrie,722593.54,4779,26,45,1
73,Petite,Services,868264.13,2901,15,82,5
74,Petite,Technologie,459407.38,3108,7,17,2
75,Grande,Finance,823217.67,2445,29,73,3
76,Moyenne,Finance,559110.77,4140,27,14,4
77,Grande,Finance,640719.93,3807,15,49,3
78,Moyenne,Industrie,531015.68,849,3,29,2
79,Moyenne,Services,468540.99,451,19,95,3
80,Moyenne,Industrie,242306.91,3920,10,4,1
81,Petite,Santé,310162.12,3114,28,82,3
82,Grande,Finance,297070.42,1239,29,20,3
83,Grande,Santé,567656.04,231,15,47,4
84,Moyenne,Technologie,128754.16,4148,3,9,1
85,Petite,Technologie,917623.77,2964,6,77,1
86,Petite,Industrie,723448.59,1835,12,79,3
87,Grande,Services,407431.17,3784,15,27,4
88,Petite,Santé,167037.9,191,6,15,3
89,Petite,Services,883172.25,2882,13,92,3
90,Moyenne,Industrie,825540.31,2540,29,19,2
91,Petite,Technologie,724504.34,1937,19,90,2
92,Moyenne,Services,278831.58,2929,3,52,4
93,Grande,Services,408422.17,853,8,26,5
94,Petite,Technologie,111720.77,2037,8,89,2
95,Grande,Santé,197149.13,1257,23,26,5
96,Grande,Technologie,785186.47,1886,26,26,1
97,Petite,Services,717888.33,274,20,46,2
98,Petite,Santé,597550.91,1635,15,92,2
99,Grande,Santé,896769.46,4410,4,49,4
100,Petite,Technologie,587433.85,3208,19,82,5
101,Moyenne,Services,472298.32,1579,21,96,2
102,Moyenne,Industrie,346967.04,2897,3,53,2
103,Petite,Services,941044.02,1700,13,3,4
104,Grande,Finance,91888.31,3263,8,66,4
105,Petite,Industrie,931578.5,3267,23,97,5
106,Petite,Santé,828447.51,1450,16,42,1
107,Grande,Industrie,138630.63,224,13,19,1
108,Grande,Santé,569334.51,57,3,17,3
109,Moyenne,Santé,867882.5,1762,16,33,2
110,Grande,Industrie,576091.07,1671,9,76,5
111,Moyenne,Santé,908127.82,2790,28,49,2
112,Grande,Santé,943553.98,724,14,56,5
113,Petite,Finance,428160.68,410,13,63,5
114,Moyenne,Services,383540.52,2299,21,3,5
115,Moyenne,Services,936957.94,76,25,49,2
116,Moyenne,Finance,678388.66,2058,7,55,4
117,Petite,Industrie,124862.45,1234,15,26,2
118,Petite,Technologie,51868.83,1572,7,99,5
119,Petite,Technologie,568982.76,3687,6,72,3
120,Petite,Technologie,930869.26,2958,2,52,1
121,Petite,Finance,845806.22,4487,9,7,5
122,Moyenne,Finance,679089.27,703,22,46,3
123,Petite,Santé,147724.69,831,24,46,4
124,Moyenne,Technologie,261689.07,353,17,16,5
125,Petite,Industrie,876756.11,3913,5,24,3
126,Grande,Industrie,190979.16,312,12,61,5
127,Moyenne,Technologie,285655.01,3421,1,54,2
128,Grande,Technologie,138304.64,2339,10,62,3
129,Moyenne,Technologie,679347.15,4866,11,1,2
130,Grande,Finance,944542.48,4825,16,49,2
131,Petite,Finance,276278.35,2814,14,25,3
132,Petite,Finance,480652.54,3563,8,10,1
133,Petite,Services,637996.34,4483,24,80,3
134,Moyenne,Industrie,999471.59,3482,17,16,1
135,Grande,Industrie,113759.98,4625,25,58,5
136,Petite,Santé,503585.09,2691,18,72,5
137,Grande,Finance,391268.92,2990,12,29,3
138,Grande,Services,867161.96,280,25,92,5
139,Petite,Services,481208.05,2552,17,6,4
140,Petite,Industrie,119867.75,2769,28,16,2
141,Grande,Finance,638079.9,341,26,20,2
142,Petite,Santé,773072.81,1978,14,80,1
143,Petite,Finance,12852.44,2984,16,71,5
144,Petite,Technologie,860367.12,4581,14,78,1
145,Moyenne,Finance,194162.77,3973,9,43,2
146,Grande,Technologie,556548.67,915,4,26,2
147,Grande,Technologie,421639.53,2001,25,90,5
148,Moyenne,Santé,722457.28,3134,23,78,4
149,Grande,Industrie,377450.0,4209,11,71,4
150,Petite,Finance,871065.54,3762,6,33,5
151,Grande,Technologie,733191.4,332,15,26,5
152,Petite,Finance,651236.04,1804,5,45,1
153,Moyenne,Industrie,798278.19,319,11,84,5
154,Petite,Industrie,756482.8,3550,25,63,4
155,Grande,Services,45579.29,1139,18,67,5
156,Grande,Industrie,400787.01,2751,13,52,1
157,Grande,Santé,931499.22,4881,11,68,1
158,Moyenne,Technologie,134467.03,1525,14,26,1
159,Moyenne,Services,739725.58,160,28,75,1
160,Grande,Santé,974845.89,1729,18,2,3
161,Petite,Finance,61676.64,3348,27,14,5
162,Moyenne,Technologie,685371.94,891,28,30,2
163,Grande,Industrie,473472.6,3078,25,49,5
164,Grande,Technologie,583383.5,2810,28,12,3
165,Moyenne,Finance,94487.92,726,19,90,1
166,Moyenne,Services,52576.88,917,24,44,3
167,Moyenne,Services,670197.99,3362,27,33,4
168,Petite,Services,825076.34,875,15,13,4
169,Petite,Industrie,784195.18,4113,9,78,5
170,Grande,Santé,548367.67,502,8,88,5
171,Moyenne,Santé,108868.15,1761,20,98,2
172,Petite,Technologie,691164.0,1122,28,26,2
173,Moyenne,Industrie,249469.99,3414,1,21,4
174,Grande,Services,911958.02,2833,4,28,1
175,Petite,Services,839882.71,1652,14,48,3
176,Petite,Finance,712289.14,2988,25,40,2
177,Petite,Finance,949357.5,147,2,66,2
178,Grande,Services,41107.6,2766,16,73,1
179,Moyenne,Services,738838.42,3440,3,87,1
180,Petite,Industrie,336940.35,4665,26,79,5
181,Grande,Santé,907005.23,2436,8,77,3
182,Moyenne,Finance,274008.44,4517,6,23,1
183,Grande,Santé,727607.93,1853,16,81,2
184,Moyenne,Industrie,878870.55,2701,24,48,2
185,Grande,Services,51240.25,1722,16,2,4
186,Moyenne,Santé,403671.1,3077,7,84,1
187,Petite,Services,764685.94,1072,13,20,5
188,Moyenne,Services,460369.7,2791,13,59,3
189,Grande,Technologie,274580.1,3796,5,46,5
190,Grande,Santé,227607.3,1293,25,3,2
191,Moyenne,Santé,140203.08,3876,20,55,5
192,Petite,Services,858558.26,1811,22,12,2
193,Petite,Industrie,579601.85,1509,18,40,2
194,Moyenne,Technologie,85621.1,3313,15,66,2
195,Moyenne,Services,388754.52,2956,18,78,2
196,Grande,Finance,374056.31,76,2,16,2
197,Petite,Finance,189921.8,1695,10,83,4
198,Moyenne,Technologie,441152.55,1349,23,34,5
199,Petite,Industrie,338778.37,3308,13,44,4
200,Moyenne,Services,348385.67,3118,18,6,4
201,Moyenne,Santé,741636.29,887,15,77,1
202,Petite,Technologie,231030.75,4239,12,64,1
203,Moyenne,Industrie,645441.36,2667,15,22,1
204,Moyenne,Santé,574943.13,1509,13,18,3
205,Grande,Finance,572411.59,2468,18,12,1
206,Moyenne,Finance,666377.27,2558,15,52,5
207,Moyenne,Santé,552898.22,737,25,94,4
208,Moyenne,Technologie,880462.56,1753,23,51,5
209,Grande,Finance,678824.29,3929,11,71,1
210,Petite,Services,551493.62,428,19,96,3
211,Grande,Santé,831465.49,3483,3,48,3
212,Grande,Santé,610085.1,1596,7,19,4
213,Petite,Finance,298232.81,4490,21,6,5
214,Grande,Technologie,215023.97,4442,26,84,2
215,Petite,Services,160804.51,4714,14,27,5
216,Grande,Technologie,900460.66,497,14,53,1
217,Petite,Industrie,713034.08,196,22,48,2
218,Moyenne,Industrie,938004.65,503,13,7,3
219,Grande,Finance,607258.89,4922,12,59,4
220,Grande,Finance,478666.87,1261,24,69,4
221,Grande,Finance,69119.32,1973,9,11,3
222,Grande,Industrie,674925.86,4327,1,15,1
223,Moyenne,Technologie,586386.67,2191,19,64,3
224,Grande,Technologie,990306.8,821,11,3,1
225,Moyenne,Finance,246767.19,3225,23,69,2
226,Moyenne,Services,535429.98,1478,22,23,3
227,Moyenne,Technologie,654447.76,1091,23,53,1
228,Moyenne,Industrie,648145.26,4204,24,37,2
229,Petite,Santé,565680.61,1879,22,9,3
230,Petite,Santé,779158.73,875,19,15,4
231,Grande,Santé,212931.4,4768,18,3,3
232,Petite,Services,728370.93,2047,12,93,5
233,Petite,Finance,623537.23,277,23,70,3
234,Grande,Industrie,897114.36,1034,28,17,5
235,Grande,Services,848722.49,3223,28,26,2
236,Grande,Industrie,321995.57,4074,28,21,3
237,Petite,Industrie,283474.95,1056,27,72,2
238,Petite,Finance,981836.79,4038,1,21,2
239,Grande,Santé,531992.53,1578,19,11,1
240,Moyenne,Finance,907356.75,3195,28,38,2
241,Grande,Services,172242.21,4393,27,72,2
242,Moyenne,Services,646390.73,3802,20,88,3
243,Moyenne,Services,811761.59,3294,29,35,3
244,Grande,Finance,947921.3,3752,17,14,4
245,Grande,Industrie,343966.74,2110,5,14,1
246,Grande,Industrie,727731.36,312,26,10,2
247,Petite,Technologie,543424.88,3364,3,12,1
248,Moyenne,Services,70022.64,3181,2,38,5
249,Petite,Industrie,693099.74,1256,3,34,2
250,Petite,Technologie,693195.59,2752,8,41,1
251,Grande,Industrie,931300.74,1522,16,10,4
252,Petite,Services,502339.32,1383,6,17,4
253,Grande,Santé,237948.41,4896,13,17,2
254,Moyenne,Services,54118.19,4997,23,67,5
255,Grande,Finance,421485.76,1966,28,62,4
256,Petite,Industrie,308897.53,4310,22,95,4
257,Petite,Industrie,763477.42,2868,22,1,5
258,Grande,Finance,360725.09,2661,16,12,1
259,Grande,Finance,949580.48,2499,28,4,4
260,Petite,Santé,962687.1,4572,16,42,3
261,Moyenne,Industrie,624699.5,4010,3,13,4
262,Moyenne,Industrie,929373.68,3568,28,98,1
263,Grande,Santé,763245.8,927,13,85,1
264,Moyenne,Technologie,551391.04,4237,14,86,2
265,Petite,Santé,188504.86,4467,8,4,3
266,Grande,Services,464011.96,2964,12,82,1
267,Petite,Industrie,565265.72,188,23,69,5
268,Petite,Finance,865321.96,3363,23,19,3
269,Moyenne,Services,486520.04,1403,22,2,3
270,Grande,Industrie,898697.93,2801,21,12,5
271,Grande,Santé,677605.49,541,26,81,4
272,Moyenne,Services,145629.07,1278,8,74,5
273,Petite,Industrie,995031.56,2972,21,98,5
274,Petite,Technologie,531960.33,3054,25,6,4
275,Petite,Technologie,397939.71,1101,9,8,4
276,Petite,Finance,662522.63,1310,1,51,4
277,Grande,Industrie,117804.38,920,6,11,4
278,Grande,Technologie,640173.26,3086,23,63,4
279,Moyenne,Santé,503253.64,4252,19,57,5
280,Moyenne,Industrie,412607.33,1033,23,12,2
281,Grande,Santé,953489.82,1982,11,73,2
282,Grande,Santé,527314.32,3359,11,2,1
283,Petite,Technologie,226926.3,2516,23,8,2
284,Petite,Industrie,464373.84,275,13,11,2
285,Moyenne,Services,920193.53,1191,11,53,5
286,Grande,Technologie,184334.52,4560,18,10,4
287,Moyenne,Technologie,221817.47,4205,23,85,4
288,Grande,Industrie,22899.27,3769,15,84,5
289,Petite,Industrie,24048.15,2403,1,8,2
290,Moyenne,Santé,831097.71,4534,21,36,5
291,Moyenne,Industrie,734801.38,4240,25,93,1
292,Grande,Santé,361490.65,4187,7,76,4
293,Petite,Technologie,701328.05,1716,23,14,3
294,Moyenne,Finance,401253.87,2235,27,54,1
295,Petite,Services,953367.83,133,13,85,1
296,Moyenne,Technologie,967382.15,1274,12,86,5
297,Petite,Industrie,398865.84,3677,18,21,2
298,Grande,Services,855679.69,1606,24,50,4
299,Moyenne,Finance,775358.15,4770,19,94,3
300,Moyenne,Finance,316899.94,3975,15,39,1
301,Petite,Santé,239719.43,4249,8,20,3
302,Petite,Services,463652.3,4952,19,88,2
303,Moyenne,Santé,783535.35,632,10,87,2
304,Grande,Technologie,960566.11,3802,7,7,3
305,Petite,Services,765943.28,2049,18,9,4
306,Petite,Technologie,856654.92,3557,16,1,2
307,Petite,Santé,607033.66,4984,20,26,3
308,Moyenne,Services,837053.75,2346,27,38,1
309,Moyenne,Santé,786576.65,3219,6,38,3
310,Moyenne,Services,383215.69,254,27,61,3
311,Moyenne,Santé,556470.4,2930,9,44,5
312,Grande,Finance,806705.59,979,21,86,2
313,Grande,Santé,55596.17,1330,13,44,4
314,Moyenne,Finance,809998.49,988,25,74,4
315,Grande,Santé,186109.24,893,21,62,5
316,Petite,Services,519536.78,2942,26,6,4
317,Petite,Services,810192.69,2122,8,17,3
318,Petite,Services,261282.87,2677,16,51,5
319,Moyenne,Industrie,253349.36,4975,13,38,1
320,Petite,Technologie,408736.75,1331,13,24,2
321,Grande,Services,895696.37,475,17,51,2
322,Moyenne,Finance,10438.35,1992,23,10,2
323,Grande,Services,902369.27,95,20,72,3
324,Petite,Industrie,162268.95,534,5,21,1
325,Petite,Finance,990185.51,4761,22,70,5
326,Petite,Industrie,955298.52,4064,21,85,5
327,Moyenne,Finance,499728.44,4839,28,57,2
328,Grande,Santé,517593.05,2778,17,39,1
329,Moyenne,Technologie,486733.85,4972,28,88,1
330,Moyenne,Technologie,639089.21,1691,9,33,1
331,Petite,Industrie,99814.49,196,2,59,4
332,Moyenne,Technologie,42291.77,1991,25,18,4
333,Moyenne,Industrie,67125.9,3628,26,56,2
334,Petite,Industrie,449921.7,2190,18,92,1
335,Moyenne,Industrie,282792.46,4445,9,57,1
336,Petite,Technologie,625819.17,1013,6,96,5
337,Petite,Industrie,992517.87,3788,11,76,5
338,Petite,Technologie,392459.94,4303,25,48,2
339,Petite,Industrie,578102.84,4673,29,42,1
340,Moyenne,Services,421447.86,4292,6,27,2
341,Petite,Industrie,848798.95,2057,6,74,5
342,Petite,Finance,903214.04,3313,13,52,5
343,Moyenne,Industrie,878582.06,1721,11,42,4
344,Moyenne,Santé,974628.52,315,14,32,2
345,Grande,Industrie,37243.99,4543,2,26,2
346,Moyenne,Finance,841418.0,1265,8,25,1
347,Moyenne,Finance,754254.45,4970,3,75,1
348,Grande,Technologie,236407.47,3937,23,23,4
349,Moyenne,Services,956756.89,3273,21,98,3
350,Moyenne,Industrie,156696.15,589,3,57,3
351,Moyenne,Technologie,682754.43,2804,1,52,3
352,Moyenne,Services,232641.31,364,24,87,2
353,Grande,Industrie,437066.84,2871,19,93,2
354,Moyenne,Santé,721968.3,2016,18,31,5
355,Moyenne,Industrie,567691.4,4944,17,64,2
356,Grande,Finance,433226.81,4011,20,71,2
357,Petite,Finance,333075.05,1630,29,33,2
358,Grande,Santé,841263.06,2769,24,85,4
359,Petite,Technologie,152376.21,895,13,2,2
360,Grande,Services,435801.85,736,3,18,1
361,Grande,Industrie,904720.0,3966,1,47,1
362,Moyenne,Finance,847391.05,4706,4,33,5
363,Petite,Technologie,406932.34,2509,25,98,4
364,Moyenne,Santé,765477.28,619,13,84,1
365,Petite,Finance,824929.22,3811,17,35,4
366,Grande,Santé,889998.55,1724,28,51,4
367,Grande,Industrie,549060.71,4774,11,18,5
368,Petite,Services,212416.28,1592,2,88,4
369,Moyenne,Finance,262755.99,1616,25,72,2
370,Moyenne,Finance,302737.73,901,16,30,4
371,Moyenne,Industrie,597864.46,282,2,44,5
372,Moyenne,Technologie,42481.53,4652,29,53,5
373,Grande,Services,639682.04,1641,19,10,5
374,Grande,Finance,370710.7,2163,23,87,1
375,Grande,Services,302289.38,2437,19,52,2
376,Grande,Finance,880701.61,3909,25,49,1
377,Grande,Services,465402.37,4861,16,11,3
378,Moyenne,Santé,104102.52,3267,22,66,2
379,Moyenne,Finance,828479.3,1454,19,58,4
380,Moyenne,Services,57164.84,4505,9,90,5
381,Moyenne,Technologie,729481.73,1237,1,36,3
382,Grande,Santé,776167.16,4122,10,33,2
383,Grande,Santé,359076.58,682,19,47,1
384,Grande,Technologie,826539.98,2663,1,13,5
385,Petite,Services,520502.81,2033,2,40,1
386,Moyenne,Industrie,468660.72,3763,16,89,2
387,Moyenne,Technologie,54949.25,4629,12,68,2
388,Grande,Services,297128.9,2042,8,42,3
389,Moyenne,Technologie,931699.87,2654,23,19,4
390,Moyenne,Technologie,397905.72,661,18,82,1
391,Grande,Finance,551233.52,170,2,94,3
392,Petite,Services,536701.46,4949,25,19,5
393,Petite,Industrie,594526.78,4596,29,58,4
394,Petite,Finance,70717.65,594,13,23,3
395,Grande,Technologie,368554.49,4529,6,54,1
396,Moyenne,Technologie,725896.99,2826,21,80,2
397,Grande,Technologie,208554.65,4263,26,65,5
398,Grande,Services,211542.59,1267,6,12,1
399,Moyenne,Services,19989.7,76,9,24,4
400,Petite,Finance,443107.11,3521,16,34,4
401,Petite,Industrie,883907.04,4755,11,53,2
402,Grande,Finance,61381.93,3585,7,8,2
403,Petite,Santé,199207.52,273,10,18,5
404,Grande,Technologie,316983.69,1781,10,57,5
405,Grande,Technologie,734407.49,2467,25,5,2
406,Moyenne,Technologie,644229.24,1273,20,26,2
407,Moyenne,Finance,421784.47,1020,18,30,4
408,Moyenne,Finance,761478.25,2727,28,54,2
409,Grande,Technologie,613534.7,1088,24,13,3
410,Moyenne,Finance,897080.39,4106,20,83,1
411,Petite,Services,819846.48,411,29,29,2
412,Petite,Services,260285.47,3081,9,3,5
413,Grande,Finance,278724.19,990,15,90,3
414,Grande,Technologie,134102.91,3608,4,58,5
415,Moyenne,Finance,343595.08,4490,8,76,3
416,Grande,Finance,999548.48,714,9,2,2
417,Grande,Finance,411693.66,2623,13,75,1
418,Petite,Santé,228283.55,4854,9,28,5
419,Petite,Services,764858.06,1416,26,82,3
420,Moyenne,Industrie,547046.29,4626,4,77,4
421,Grande,Industrie,158105.44,1490,17,86,2
422,Grande,Santé,386882.78,2955,16,76,1
423,Petite,Finance,420325.02,4656,15,2,2
424,Grande,Santé,756291.4,2939,3,7,4
425,Petite,Santé,30464.66,4119,25,26,1
426,Moyenne,Technologie,276329.45,4675,20,90,4
427,Petite,Services,522420.34,1008,5,88,2
428,Grande,Industrie,276158.28,2471,23,76,3
429,Moyenne,Finance,632149.71,2471,5,16,2
430,Petite,Industrie,487048.8,1943,20,23,2
431,Petite,Industrie,368093.15,1944,15,40,2
432,Moyenne,Services,949716.54,1640,18,60,5
433,Moyenne,Industrie,635837.9,1703,15,73,4
434,Petite,Industrie,138641.96,4532,2,32,4
435,Grande,Santé,564490.78,2096,29,15,4
436,Petite,Services,782924.53,1900,13,13,5
437,Moyenne,Technologie,711404.8,4245,4,5,3
438,Petite,Finance,180368.34,3403,10,75,2
439,Moyenne,Industrie,972695.8,1078,13,74,3
440,Moyenne,Finance,454325.51,2407,10,52,5
441,Grande,Technologie,167434.75,4900,29,77,4
442,Moyenne,Finance,188393.8,3217,9,41,2
443,Moyenne,Technologie,107252.64,4042,8,53,1
444,Grande,Santé,805482.93,1156,3,50,1
445,Moyenne,Industrie,130810.19,2450,16,15,3
446,Grande,Technologie,133874.0,1961,14,7,4
447,Grande,Finance,851966.9,4563,9,40,1
448,Moyenne,Industrie,351158.04,3912,21,28,3
449,Moyenne,Santé,40549.33,812,11,32,5
450,Petite,Industrie,61376.35,191,3,99,3
451,Grande,Technologie,150748.74,4832,5,15,3
452,Petite,Santé,221259.41,4529,29,85,3
453,Moyenne,Finance,668494.73,1312,10,70,2
454,Petite,Santé,165753.02,2289,13,65,3
455,Grande,Santé,127685.65,4871,4,4,3
456,Petite,Services,767071.95,762,24,11,2
457,Grande,Santé,674344.73,4236,13,26,2
458,Moyenne,Santé,440970.98,4892,12,61,5
459,Moyenne,Industrie,553816.67,3859,5,37,4
460,Grande,Finance,318864.18,4271,10,23,1
461,Moyenne,Industrie,487675.42,2211,28,93,1
462,Moyenne,Industrie,511605.92,3563,24,85,3
463,Moyenne,Technologie,393364.9,1585,9,91,5
464,Moyenne,Industrie,907506.49,966,20,40,3
465,Grande,Services,25901.25,3852,7,77,1
466,Petite,Services,784349.55,3580,2,23,2
467,Petite,Technologie,133139.0,880,22,16,4
468,Moyenne,Finance,799571.89,2423,24,94,5
469,Petite,Finance,619752.8,4203,28,61,2
470,Petite,Industrie,844845.31,1006,23,68,4
471,Moyenne,Industrie,106539.18,3389,7,80,5
472,Moyenne,Industrie,563390.83,4071,8,31,5
473,Petite,Finance,506077.0,2850,7,53,1
474,Grande,Santé,709131.25,1486,21,25,2
475,Moyenne,Services,538947.65,3306,23,44,5
476,Grande,Santé,545327.22,662,29,12,5
477,Petite,Santé,435299.98,2785,14,90,4
478,Moyenne,Finance,315746.08,427,26,97,1
479,Grande,Santé,487441.72,3686,19,92,3
480,Moyenne,Technologie,127307.44,4271,5,9,1
481,Petite,Industrie,961898.21,2715,23,12,3
482,Grande,Technologie,717266.66,457,25,69,2
483,Petite,Services,952942.45,2402,18,54,2
484,Petite,Industrie,234460.11,1980,20,54,5
485,Moyenne,Santé,880547.61,1662,12,28,2
486,Grande,Services,810702.08,2546,23,56,5
487,Petite,Industrie,680380.89,3080,17,99,1
488,Petite,Santé,628778.89,3169,13,69,2
489,Grande,Technologie,323384.17,2971,2,98,1
490,Petite,Industrie,818246.68,2058,25,98,1
491,Petite,Santé,506500.31,292,13,77,2
492,Grande,Technologie,80182.66,3222,26,58,1
493,Grande,Services,319734.53,3859,7,78,2
494,Grande,Services,935944.13,1452,28,75,2
495,Grande,Services,852173.46,612,10,42,2
496,Moyenne,Services,982086.64,4557,23,38,3
497,Grande,Finance,631713.45,1769,6,68,1
498,Moyenne,Industrie,255034.97,1230,3,53,4
499,Moyenne,Industrie,171186.9,1240,26,33,2
500,Moyenne,Finance,195045.3,1034,3,71,1
501,Petite,Santé,29597.7,2676,18,56,5
502,Moyenne,Santé,396775.29,3967,11,72,2
503,Moyenne,Services,199513.4,4547,22,51,2
504,Petite,Technologie,417538.91,4935,20,74,4
505,Petite,Santé,935644.49,3182,5,43,3
506,Petite,Technologie,436234.81,3727,19,15,3
507,Grande,Industrie,879204.65,4911,22,38,2
508,Petite,Technologie,609449.72,1480,27,15,1
509,Petite,Industrie,254660.24,2901,28,5,5
510,Moyenne,Finance,362296.21,813,19,93,5
511,Petite,Finance,93080.34,983,15,83,1
512,Grande,Services,340127.97,2468,16,54,2
513,Petite,Santé,680765.54,730,24,51,5
514,Grande,Services,81389.98,2506,9,10,3
515,Petite,Industrie,213347.39,3367,4,12,1
516,Petite,Services,387626.63,1221,15,4,4
517,Petite,Technologie,982229.04,4056,25,95,2
518,Petite,Industrie,787013.2,2202,12,18,1
519,Grande,Finance,736151.88,2811,23,80,5
520,Grande,Santé,125029.05,783,3,36,2
521,Moyenne,Industrie,783185.93,977,23,25,3
522,Grande,Industrie,787416.12,2815,14,87,2
523,Petite,Technologie,605091.67,2128,17,76,2
524,Moyenne,Santé,990458.16,603,19,98,3
525,Moyenne,Finance,332001.37,3346,6,36,3
526,Moyenne,Industrie,941859.72,229,4,67,2
527,Petite,Industrie,915583.8,845,7,9,3
528,Grande,Technologie,21365.85,1819,19,61,1
529,Petite,Services,455615.36,4814,17,53,3
530,Moyenne,Finance,977333.19,1111,25,18,3
531,Petite,Santé,112090.15,129,16,43,2
532,Petite,Industrie,552306.85,3251,15,35,1
533,Grande,Industrie,979167.93,2936,22,63,4
534,Grande,Finance,559940.47,4130,8,98,4
535,Moyenne,Services,197917.15,2976,19,78,5
536,Petite,Industrie,586361.4,2022,8,4,3
537,Petite,Finance,212396.17,2420,18,93,3
538,Grande,Technologie,524507.22,4595,28,41,1
539,Petite,Services,83301.8,3101,16,45,4
540,Petite,Santé,609427.84,1614,20,50,5
541,Petite,Industrie,521622.04,722,19,79,1
542,Grande,Finance,742759.76,3566,10,28,3
543,Moyenne,Technologie,634393.47,1021,17,42,4
544,Moyenne,Santé,554110.21,3570,13,80,5
545,Petite,Finance,692881.06,4706,13,76,2
546,Moyenne,Finance,152502.49,4475,7,69,4
547,Grande,Santé,599406.06,1965,27,98,5
548,Grande,Technologie,180389.5,1053,10,1,1
549,Moyenne,Technologie,926266.99,1362,2,39,2
550,Moyenne,Services,77650.76,3431,4,96,5
551,Petite,Industrie,436071.0,120,25,90,5
552,Moyenne,Santé,698839.5,2100,6,17,3
553,Petite,Santé,463441.99,1806,24,91,4
554,Petite,Santé,101174.3,2151,18,88,3
555,Grande,Technologie,557845.23,1625,23,35,2
556,Grande,Industrie,645215.59,4785,6,46,5
557,Grande,Services,706754.39,2955,29,42,3
558,Grande,Finance,379527.22,3797,25,39,4
559,Moyenne,Finance,568023.37,2946,23,90,2
560,Grande,Santé,456179.61,4910,17,49,1
561,Moyenne,Industrie,675335.48,982,14,62,3
562,Grande,Technologie,587721.4,3071,24,38,2
